Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
SithDroid,1,1,525,4,1,1,8,695,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,695,4,2,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,5,4,1715,8,7,6,17,3040,,,,,,,,,,,,,,,,,,,,,,
SithDroid,5,4,2065,13,4,6,28,3040,,,,,,,,,,,,,,,,,,,,,,
Dur,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,3040,16,8,17,33,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,250,1,1,2,2,775,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,225,1,1,1,1,775,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,775,5,3,0,7,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,190,0,0,1,4,695,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,145,0,0,0,0,695,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,695,4,1,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,175,0,0,2,2,755,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,255,1,0,2,3,755,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,3,2,5,7,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,170,0,1,0,2,645,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,295,1,0,3,2,645,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,645,4,1,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,175,1,0,1,3,340,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,350,2,0,1,4,340,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,340,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,5,1,960,2,2,6,13,3210,,,,,,,,,,,,,,,,,,,,,,
Dur,5,1,1270,5,1,7,10,3210,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,3210,16,7,15,33,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,340,1,1,1,3,405,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,265,1,1,1,4,405,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,405,1,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,315,2,1,1,5,505,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,390,3,0,1,3,505,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,505,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,225,1,0,1,2,250,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,320,2,0,0,4,250,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,250,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,530,4,3,0,4,290,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,425,4,2,0,7,290,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,290,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,285,0,3,0,6,480,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,545,5,0,0,7,480,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,480,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,5,5,1695,8,8,3,20,1930,,,,,,,,,,,,,,,,,,,,,,
SithDroid,5,5,1945,15,3,2,25,1930,,,,,,,,,,,,,,,,,,,,,,
Dur,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,1930,4,1,16,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,110,0,0,1,0,780,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,200,0,0,3,0,780,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,780,5,3,0,10,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,130,1,0,1,1,755,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,265,0,1,2,3,755,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,4,1,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,150,0,0,1,2,645,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,345,1,0,4,3,645,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,645,2,1,2,10,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,155,0,0,1,1,815,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,100,0,0,1,0,815,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,815,5,2,1,11,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,255,2,0,1,3,855,,,,,,,,,,,,,,,,,,,,,,
