Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Azorh,5,4,1135,2,6,5,10,2420,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2420,11,5,13,24,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,180,0,0,1,2,540,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,215,1,0,1,2,540,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,540,3,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,390,3,0,0,7,500,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,295,2,2,0,5,500,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,500,2,0,7,2,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,220,1,0,0,2,360,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,95,0,0,0,2,360,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,360,2,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,270,1,0,0,7,365,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,140,0,0,0,2,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,325,2,0,0,3,385,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,285,0,0,5,2,385,,,,,,,,,,,,,,,,,,,,,,
