,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
3,3,19,Hurricanes,Dodgers,Iguane Fabuleux,317,0,0,2,2,
3,3,19,Hurricanes,Dodgers,Peabs,479,1,0,3,6,
3,3,19,Dodgers,Hurricanes,Bolio,830,3,2,3,6,
3,3,19,Dodgers,Hurricanes,Red Line,875,2,3,5,2,
3,4,19,Hurricanes,Dodgers,Iguane Fabuleux,542,1,1,2,6,
3,4,19,Hurricanes,Dodgers,Peabs,442,1,0,3,4,
3,4,19,Dodgers,Hurricanes,Bolio,807,3,0,5,5,
3,4,19,Dodgers,Hurricanes,Red Line,481,1,2,1,6,
3,5,19,Hurricanes,Dodgers,Iguane Fabuleux,975,4,3,2,7,
3,5,19,Hurricanes,Dodgers,Peabs,1030,3,4,4,4,
3,5,19,Dodgers,Hurricanes,Bolio,687,4,0,0,7,
3,5,19,Dodgers,Hurricanes,Red Line,565,0,3,3,3,
3,1,20,Spectre,Flames,Plum,726,3,0,1,6,
3,1,20,Spectre,Flames,Vitali,330,1,0,2,3,
3,1,20,Flames,Spectre,SmilezRL,577,1,2,2,3,
3,1,20,Flames,Spectre,Erayne,463,2,0,2,3,
3,2,20,Spectre,Flames,Plum,670,2,1,3,4,
3,2,20,Spectre,Flames,Vitali,827,3,0,4,7,
3,2,20,Flames,Spectre,SmilezRL,240,0,0,1,6,
3,2,20,Flames,Spectre,Erayne,282,0,0,2,3,
3,3,20,Spectre,Flames,Plum,450,2,1,0,4,
3,3,20,Spectre,Flames,Vitali,723,2,1,4,4,
3,3,20,Flames,Spectre,SmilezRL,409,0,3,1,2,
3,3,20,Flames,Spectre,Erayne,682,3,0,2,6,
3,4,20,Spectre,Flames,Plum,613,1,1,5,5,
3,4,20,Spectre,Flames,Vitali,511,2,0,2,5,
3,4,20,Flames,Spectre,SmilezRL,672,2,2,2,3,
3,4,20,Flames,Spectre,Erayne,627,2,1,3,6,
3,5,20,Spectre,Flames,Plum,866,4,2,1,6,
3,5,20,Spectre,Flames,Vitali,938,4,0,3,6,
3,5,20,Flames,Spectre,SmilezRL,357,0,1,2,4,
3,5,20,Flames,Spectre,Erayne,356,1,0,1,5,
3,1,21,Comets,Hive,magipod,515,2,0,2,5,
3,1,21,Comets,Hive,isosolo,282,0,1,1,5,
3,1,21,Hive,Comets,Squidd,820,3,1,4,5,
3,1,21,Hive,Comets,Malamente,632,1,3,2,3,
3,2,21,Comets,Hive,magipod,693,3,1,1,7,
3,2,21,Comets,Hive,isosolo,632,2,2,1,6,
3,2,21,Hive,Comets,Squidd,340,0,0,1,0,
3,2,21,Hive,Comets,Malamente,628,2,0,3,5,
3,3,21,Comets,Hive,magipod,312,1,0,0,3,
3,3,21,Comets,Hive,isosolo,403,0,1,2,1,
3,3,21,Hive,Comets,Squidd,474,2,0,1,4,
3,3,21,Hive,Comets,Malamente,252,0,1,1,2,
3,4,21,Comets,Hive,magipod,502,2,0,1,8,
3,4,21,Comets,Hive,isosolo,154,0,0,0,2,
3,4,21,Hive,Comets,Squidd,651,2,0,4,2,
3,4,21,Hive,Comets,Malamente,594,1,2,4,2,
3,5,21,Comets,Hive,magipod,300,0,0,1,3,
3,5,21,Comets,Hive,isosolo,330,0,0,2,3,
3,5,21,Hive,Comets,Squidd,793,4,0,2,5,
3,5,21,Hive,Comets,Malamente,499,0,1,3,5,
3,1,22,Jets,Foxes,Kunics,543,1,1,4,1,
3,1,22,Jets,Foxes,Bond Brother,446,2,0,1,5,
3,1,22,Foxes,Jets,Atokad,426,1,2,1,4,
