Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,5,5,575,5,5,5,5,150,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,5,5,575,5,5,5,5,150,,,,,,,,,,,,,,,,,,,,,,
Wavy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,150,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,535,4,3,2,5,320,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,665,5,2,2,5,320,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,0,0,320,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,370,3,1,0,5,765,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,550,3,2,2,5,765,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,0,0,765,5,3,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,335,1,2,3,1,680,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,535,4,0,2,7,680,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,0,0,680,4,1,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,420,3,1,2,3,665,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,495,2,2,2,6,665,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,0,0,665,3,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,285,1,2,1,2,525,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,500,3,1,2,3,525,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,0,0,525,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,5,5,1945,12,9,8,16,2955,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,5,5,2745,17,7,10,26,2955,,,,,,,,,,,,,,,,,,,,,,
Wavy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,0,0,2955,14,7,10,37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 10 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,390,1,2,2,2,635,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,330,3,0,0,3,635,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,635,3,3,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 10 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
