Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,5,4,1900,12,1,4,27,2195,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,5,4,1140,4,4,6,13,2195,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2195,8,1,17,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,275,0,1,3,3,995,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,285,1,0,5,1,995,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,995,5,4,4,12,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,255,2,0,1,2,745,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,115,0,1,0,0,745,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,745,5,3,0,7,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,455,2,0,3,3,515,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,225,1,0,2,1,515,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,515,2,0,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,390,2,0,2,2,520,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
