Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Jeremazing,1,0,275,1,1,2,3,745,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,0,270,2,0,0,5,745,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,745,4,3,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,5,2,1450,7,5,6,17,2905,,,,,,,,,,,,,,,,,,,,,,
GrayV,5,2,1285,8,0,4,19,2905,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2905,15,9,14,31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,1,0,170,0,0,1,2,515,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,195,1,0,1,3,515,,,,,,,,,,,,,,,,,,,,,,
GrayV,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,515,3,1,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,1,0,120,0,0,1,1,490,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,125,0,0,0,1,490,,,,,,,,,,,,,,,,,,,,,,
GrayV,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,490,2,1,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,1,0,190,1,0,0,1,605,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,225,1,1,0,4,605,,,,,,,,,,,,,,,,,,,,,,
GrayV,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,605,3,2,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,1,0,65,0,0,0,1,665,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,125,0,0,1,2,665,,,,,,,,,,,,,,,,,,,,,,
GrayV,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,665,4,1,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,1,1,220,1,1,0,4,420,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,1,485,3,1,1,4,420,,,,,,,,,,,,,,,,,,,,,,
GrayV,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,420,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,5,1,765,2,1,2,9,2695,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,5,1,1155,5,2,3,14,2695,,,,,,,,,,,,,,,,,,,,,,
GrayV,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,2695,14,6,9,29,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
