Game Information,,,,,,Player Statlines,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh
2,4,20,Sabres,Foxes,SmilezRL,484,1,0,2,3
2,4,20,Sabres,Foxes,Prosperity2K,491,1,0,3,2
2,5,20,Foxes,Sabres,henrY,470,1,2,2,5
2,5,20,Foxes,Sabres,Laff,945,4,1,3,5
2,5,20,Sabres,Foxes,SmilezRL,474,1,0,2,2
2,5,20,Sabres,Foxes,Prosperity2K,378,1,0,2,5
2,1,21,Hive,Ducks,Satsz,785,3,1,1,10
2,1,21,Hive,Ducks,Toonifisch,697,3,2,1,5
2,1,21,Ducks,Hive,Jack Colt,570,1,0,4,2
2,1,21,Ducks,Hive,BlueMars2,263,0,0,2,1
2,2,21,Hive,Ducks,Satsz,677,2,0,3,4
2,2,21,Hive,Ducks,Toonifisch,308,0,1,2,2
2,2,21,Ducks,Hive,Jack Colt,875,2,2,5,5
2,2,21,Ducks,Hive,BlueMars2,597,3,1,1,7
2,3,21,Hive,Ducks,Satsz,604,2,1,2,7
2,3,21,Hive,Ducks,Toonifisch,442,1,1,2,4
2,3,21,Ducks,Hive,Jack Colt,436,0,0,3,4
2,3,21,Ducks,Hive,BlueMars2,237,0,0,1,4
2,4,21,Hive,Ducks,Satsz,729,2,1,3,5
2,4,21,Hive,Ducks,Toonifisch,737,3,0,3,4
2,4,21,Ducks,Hive,Jack Colt,706,2,1,4,4
2,4,21,Ducks,Hive,BlueMars2,689,2,1,2,5
2,5,21,Hive,Ducks,Satsz,754,1,3,3,7
2,5,21,Hive,Ducks,Toonifisch,984,5,1,1,10
2,5,21,Ducks,Hive,Jack Colt,833,1,3,5,5
2,5,21,Ducks,Hive,BlueMars2,975,4,1,4,6
2,1,22,Aviators,Hawks,Icey6,567,1,2,2,3
2,1,22,Aviators,Hawks,Vitali,558,2,1,0,4
2,1,22,Hawks,Aviators,TestGravity,893,4,0,2,7
2,1,22,Hawks,Aviators,Zayo,593,1,3,2,2
2,2,22,Aviators,Hawks,Icey6,308,0,1,0,5
2,2,22,Aviators,Hawks,Vitali,443,1,0,2,3
2,2,22,Hawks,Aviators,TestGravity,673,1,3,2,5
2,2,22,Hawks,Aviators,Zayo,909,4,0,3,3
2,3,22,Aviators,Hawks,Icey6,348,0,1,2,4
2,3,22,Aviators,Hawks,Vitali,425,1,0,2,2
2,3,22,Hawks,Aviators,TestGravity,1101,6,0,2,8
