Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
DMRawlings,5,2,900,6,0,7,8,3540,,,,,,,,,,,,,,,,,,,,,,
kcscrag,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3540,18,12,7,41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,320,1,0,2,3,755,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,105,0,0,1,1,755,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,4,1,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,470,2,0,2,6,470,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,1,120,0,1,0,1,470,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,470,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,250,2,0,1,2,755,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,185,1,0,1,2,755,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,6,2,0,8,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,240,1,0,3,1,860,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,195,1,0,1,2,860,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,860,5,3,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,540,4,0,3,5,910,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,150,0,1,0,2,910,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,910,5,3,1,11,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
