Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,265,2,0,0,4,845,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,275,1,0,3,3,845,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,845,6,3,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,270,1,1,1,2,705,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,200,1,0,1,4,705,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,705,4,2,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,150,0,0,0,2,750,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,135,0,0,1,1,750,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,750,4,4,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,275,2,0,1,4,780,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,315,2,1,1,2,780,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,780,5,1,3,10,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,150,0,1,1,1,950,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,255,1,0,3,2,950,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,950,7,2,1,16,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,5,0,1110,5,2,3,13,4030,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,5,0,1180,5,1,9,12,4030,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,4030,26,12,11,47,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,720,6,0,3,9,465,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,525,3,3,0,8,465,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,465,1,1,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,285,2,0,0,4,690,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,200,0,1,1,3,690,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,690,3,2,6,5,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,240,1,2,1,3,425,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,355,2,1,0,5,425,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,425,1,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,435,2,3,1,7,895,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,510,3,2,2,3,895,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,895,6,2,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
