Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,1,1,745,3,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,5,0,1055,2,3,9,9,4330,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,5,0,835,4,0,6,13,4330,,,,,,,,,,,,,,,,,,,,,,
Manatee,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,4330,26,9,13,48,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,220,1,2,0,3,865,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,475,2,1,4,6,865,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,865,6,1,3,12,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,155,1,0,0,3,415,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,305,2,0,1,3,415,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,2,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,265,2,0,2,4,800,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,350,2,0,2,5,800,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,800,5,2,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,135,0,1,0,1,710,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,230,1,0,1,3,710,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,710,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,305,2,0,1,4,765,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,275,0,2,2,3,765,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,765,3,2,5,7,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,5,1,1080,6,3,3,15,3555,,,,,,,,,,,,,,,,,,,,,,
Manatee,5,1,1635,7,3,10,20,3555,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,3555,19,8,16,39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,140,0,1,0,0,550,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,295,1,0,2,5,550,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,550,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,235,1,1,1,3,470,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,500,3,1,1,6,470,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,470,1,0,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
