Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Ares,5,3,1040,4,3,3,12,2655,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2655,10,7,19,27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,200,1,0,1,2,1030,,,,,,,,,,,,,,,,,,,,,,
Junior,1,0,465,2,1,2,6,1030,,,,,,,,,,,,,,,,,,,,,,
Ares,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1030,6,3,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,325,1,1,3,4,855,,,,,,,,,,,,,,,,,,,,,,
Junior,1,0,300,2,0,0,6,855,,,,,,,,,,,,,,,,,,,,,,
Ares,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,855,4,2,6,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,265,1,1,1,4,1095,,,,,,,,,,,,,,,,,,,,,,
Junior,1,0,325,2,1,2,4,1095,,,,,,,,,,,,,,,,,,,,,,
Ares,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1095,8,4,4,11,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,140,0,0,1,1,670,,,,,,,,,,,,,,,,,,,,,,
Junior,1,0,210,0,0,1,2,670,,,,,,,,,,,,,,,,,,,,,,
Ares,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,670,4,1,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,190,1,0,1,2,730,,,,,,,,,,,,,,,,,,,,,,
Junior,1,0,260,1,1,0,2,730,,,,,,,,,,,,,,,,,,,,,,
Ares,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,730,3,2,2,9,,,,,,,,,,,,,,,,,,,,,,,
