Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
YouReach,1,0,275,2,0,2,4,865,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,865,5,3,2,12,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,5,4,1375,8,2,7,15,2650,,,,,,,,,,,,,,,,,,,,,,
YouReach,5,4,1540,7,1,7,19,2650,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2650,12,4,13,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,350,2,0,1,6,440,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,405,1,2,0,2,440,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,440,2,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,305,2,1,1,3,430,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,440,2,2,2,5,430,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,430,2,0,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,425,2,1,0,6,340,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,235,1,1,0,4,340,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,340,2,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,460,3,3,1,4,550,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,775,6,2,2,9,550,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,550,3,1,1,8,,,,,,,,,,,,,,,,,,,,,,,
