Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,210,1,0,0,2,600,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,195,0,1,0,4,600,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,600,3,0,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,195,1,0,1,2,305,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,255,1,0,0,4,305,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,305,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,220,1,0,1,4,285,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,370,3,1,0,4,285,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,285,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,5,2,965,4,1,5,9,2705,,,,,,,,,,,,,,,,,,,,,,
Patabread,5,2,1415,6,3,5,18,2705,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2705,12,3,14,27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,85,0,0,2,0,710,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,360,1,0,3,4,710,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,710,4,2,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,110,0,0,0,2,510,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,135,0,0,1,1,510,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,510,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,290,1,0,4,3,940,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,190,0,0,2,1,940,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,940,5,3,3,10,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,215,1,1,1,3,1015,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,300,1,1,2,3,1015,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1015,6,4,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,180,1,1,0,2,445,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,355,2,0,1,4,445,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,445,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,5,1,880,3,2,7,10,3620,,,,,,,,,,,,,,,,,,,,,,
Patabread,5,1,1340,4,1,9,13,3620,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,3620,18,11,13,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,15,0,0,0,1,230,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,15,0,0,0,1,230,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,230,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,15,0,0,0,1,230,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,15,0,0,0,1,230,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,230,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,15,0,0,0,1,230,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,15,0,0,0,1,230,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,230,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
